,storeid,createtime
400,1370324272966406144,1673163835436
401,1370324276632227840,1672814122575
402,1370989068992778240,1670918188245
403,1370989068992778240,1670926734745
404,1371045286,1673079630730
405,1371045286,1673844841796
406,1371190884,1671587121210
407,1371190884,1671588425022
408,1371190884,1672798073654
409,1371310864099053568,1671595333548
410,1371356932664856576,1672899957550
411,1371358073481990144,1672216100868
412,1371367638210580480,1673059594751
413,1371372808881442816,1671515496024
414,1371372813277073408,1671332828850
415,1371372813725863936,1671333525900
416,1371372823125299200,1671002503842
417,1371372823125299200,1671604395022
418,1371388342373060608,1670978967764
419,1371781262523633664,1671004095311
420,1371781262523633664,1673164081516
421,1371781267821039616,1671947733166
422,1372032850169303040,1671153707829
423,1372032851809275904,1671351775160
